ad_clicks,ad_clicks_unique,ad_impressions,ad_impressions_unique,ad_network_id,advertiser_id,country.code,date_hour,events,installs,is_reengagement,payouts,publisher_id,publisher_sub_ad.ref,publisher_sub_adgroup.ref,publisher_sub_campaign.ref,publisher_sub_publisher.ref,publisher_sub_site.ref,site_id
6,0,0,0,0,877,IT,"2016-11-17 20:00:00",0,0,0,0,142476,,,,,,533
12,0,0,0,0,877,SE,"2016-11-17 15:00:00",0,0,0,0,142476,,,,,,533
2,0,0,0,2432,877,IN,"2016-11-17 01:00:00",0,0,0,0,334999,,,,{aff_id},,2962
1,0,0,0,1244,877,INT,"2016-11-17 05:00:00",0,0,0,0,40534,,,,,,2385
1,1,0,0,1783,877,US,"2016-11-17 22:00:00",0,0,0,0,181341,,,,[PID],,2962
60,0,0,0,0,877,NL,"2016-11-17 05:00:00",0,0,0,0,365,,,,,,47266
144,0,0,0,0,877,CA,"2016-11-17 22:00:00",0,0,0,0,1899,,,,,,533
30,0,0,0,0,877,NL,"2016-11-17 02:00:00",0,0,0,0,142476,,,,,,533
48,0,0,0,0,877,DE,"2016-11-17 07:00:00",0,0,0,0,142476,,,,,,533
108,0,0,0,0,877,SE,"2016-11-17 13:00:00",0,0,0,0,1899,,,,,,533
24,0,0,0,0,877,AT,"2016-11-17 22:00:00",0,0,0,0,365,,,,,,47266
48,0,0,0,0,877,DE,"2016-11-17 09:00:00",0,0,0,0,142476,,,,,,533
709,0,0,0,0,877,DE,"2016-11-17 09:00:00",0,0,0,0,1899,,,,,,533
24,0,0,0,0,877,CH,"2016-11-17 12:00:00",0,0,0,0,365,,,,,,533
6,0,0,0,0,877,CH,"2016-11-17 11:00:00",0,0,0,0,365,,,,,,47266
48,0,0,0,0,877,NL,"2016-11-17 15:00:00",0,0,0,0,365,,,,,,533
24,0,0,0,0,877,IE,"2016-11-17 08:00:00",0,0,0,0,365,,,,,,47266
18,0,0,0,0,877,CA,"2016-11-17 23:00:00",0,0,0,0,365,,,,,,533
12,0,0,0,0,877,SE,"2016-11-17 14:00:00",0,0,0,0,142476,,,,,,533
1890,0,0,0,0,877,US,"2016-11-17 04:00:00",0,0,0,0,1899,,,,,,533
0,0,10,10,98,877,RU,"2016-11-17 03:00:00",0,0,0,0,212933,Client_6s_AtomicDodgeBallLite_EN_160406_iOS_Landscape_Reg,,571aa7656dfbb64b2b0000cd,,50046b006d791be34e17e959,2962
138,0,0,0,0,877,IT,"2016-11-17 06:00:00",0,0,0,0,1899,,,,,,533
0,0,1,1,98,877,CN,"2016-11-17 02:00:00",0,0,0,0,212933,Client_6s_AtomicDodgeBallLite_EN_160406_iOS_Landscape_Reg,,571aa7656dfbb64b2b0000cd,,521b7a4d57d66f210e00000c,2962
30,0,0,0,0,877,AT,"2016-11-17 14:00:00",0,0,0,0,142476,,,,,,533
0,0,4,2,98,877,RU,"2016-11-17 22:00:00",0,0,0,0,212933,Client_6s_AtomicDodgeBallLite_EN_160406_iOS_Landscape_Reg,,571aa7656dfbb64b2b0000cd,,52a861166faa22fa48000009,2962
30,0,0,0,0,877,SE,"2016-11-17 23:00:00",0,0,0,0,365,,,,,,47266
48,0,0,0,0,877,DE,"2016-11-17 20:00:00",0,0,0,0,142476,,,,,,533
30,0,0,0,0,877,UK,"2016-11-17 15:00:00",0,0,0,0,365,,,,,,47266
42,0,0,0,0,877,AT,"2016-11-17 00:00:00",0,0,0,0,365,,,,,,533
0,0,0,0,0,877,IR,"2016-11-17 19:00:00",1,0,0,0,0,,,,,,123959
390,0,0,0,0,877,NL,"2016-11-17 12:00:00",0,0,0,0,1899,,,,,,533
84,0,0,0,0,877,SE,"2016-11-17 00:00:00",0,0,0,0,1899,,,,,,533
1,1,0,0,1783,877,US,"2016-11-17 01:00:00",0,0,0,0,181341,,,,[PID],,2962
0,0,1,1,98,877,CN,"2016-11-17 23:00:00",0,0,0,0,212933,Client_6s_AtomicDodgeBallLite_EN_160406_iOS_Landscape_Reg,,571aa7656dfbb64b2b0000cd,,56c2f0d357b53d280a000035,2962
0,0,1,0,98,877,CN,"2016-11-17 21:00:00",0,0,0,0,212933,Client_6s_AtomicDodgeBallLite_EN_160406_iOS_Landscape_Reg,,571aa7656dfbb64b2b0000cd,,55d6e1db4a8a6ad14b0000c9,2962
48,0,0,0,0,877,NL,"2016-11-17 16:00:00",0,0,0,0,365,,,,,,533
42,0,0,0,0,877,AT,"2016-11-17 07:00:00",0,0,0,0,365,,,,,,533
66,0,0,0,0,877,CH,"2016-11-17 16:00:00",0,0,0,0,1899,,,,,,533
6,0,0,0,0,877,CH,"2016-11-17 01:00:00",0,0,0,0,365,,,,,,47266
