ad_clicks,ad_clicks_unique,ad_impressions,ad_impressions_unique,ad_network_id,advertiser_id,country.code,date_hour,events,installs,is_reengagement,payouts,publisher_id,publisher_sub_ad.ref,publisher_sub_adgroup.ref,publisher_sub_campaign.ref,publisher_sub_publisher.ref,publisher_sub_site.ref,site_id
18,0,0,0,0,877,CA,"2016-11-19 15:00:00",0,0,0,0,365,,,,,,533
216,0,0,0,0,877,AT,"2016-11-19 11:00:00",0,0,0,0,1899,,,,,,533
138,0,0,0,0,877,IT,"2016-11-19 02:00:00",0,0,0,0,1899,,,,,,533
289,0,0,0,0,877,US,"2016-11-19 14:00:00",0,0,0,0,365,,,,,,533
390,0,0,0,0,877,NL,"2016-11-19 00:00:00",0,0,0,0,1899,,,,,,533
48,0,0,0,0,877,NL,"2016-11-19 16:00:00",0,0,0,0,365,,,,,,533
168,0,0,0,0,877,CA,"2016-11-19 20:00:00",0,0,0,0,1899,,,,,,533
6,0,0,0,0,877,DK,"2016-11-19 06:00:00",0,0,0,0,142476,,,,,,533
180,0,0,0,0,877,US,"2016-11-19 11:00:00",0,0,0,0,142476,,,,,,533
0,0,1,1,98,877,RU,"2016-11-19 02:00:00",0,0,0,0,212933,Client_6s_AtomicDodgeBallLite_EN_160406_iOS_Landscape_Reg,,571aa7656dfbb64b2b0000cd,,50046b006d791be34e17e959,2962
6,0,0,0,0,877,CA,"2016-11-19 14:00:00",0,0,0,0,365,,,,,,47266
30,0,0,0,0,877,NL,"2016-11-19 16:00:00",0,0,0,0,142476,,,,,,533
2,2,0,0,2414,877,US,"2016-11-19 12:00:00",0,0,0,0,334322,,,default,851882d1a2ad79e6_default,,2962
1,1,0,0,0,877,US,"2016-11-19 04:00:00",0,0,0,0,84650,{file_id},,{offer_id},{affiliate_id},{affiliate_sub},2385
6,0,0,0,0,877,CH,"2016-11-19 05:00:00",0,0,0,0,365,,,,,,47266
30,0,0,0,0,877,IT,"2016-11-19 02:00:00",0,0,0,0,365,,,,,,533
24,0,0,0,0,877,IE,"2016-11-19 11:00:00",0,0,0,0,365,,,,,,47266
108,0,0,0,0,877,DE,"2016-11-19 15:00:00",0,0,0,0,365,,,,,,47266
24,0,0,0,0,877,UK,"2016-11-19 01:00:00",0,0,0,0,142476,,,,,,533
270,0,0,0,0,877,US,"2016-11-19 03:00:00",0,0,0,0,365,,,,,,533
66,0,0,0,0,877,CH,"2016-11-19 04:00:00",0,0,0,0,1899,,,,,,533
0,0,1,1,98,877,RU,"2016-11-19 20:00:00",0,0,0,0,212933,Client_6s_AtomicDodgeBallLite_EN_160406_iOS_Landscape_Reg,,571aa7656dfbb64b2b0000cd,,546c783b874b20c73300002a,2962
1,1,0,0,0,877,US,"2016-11-19 12:00:00",0,0,0,0,28348,,,{offer_id},{affiliate_id},,2962
18,0,0,0,0,877,SE,"2016-11-19 05:00:00",0,0,0,0,365,,,,,,533
12,0,0,0,0,877,SE,"2016-11-19 21:00:00",0,0,0,0,142476,,,,,,533
138,0,0,0,0,877,IT,"2016-11-19 04:00:00",0,0,0,0,1899,,,,,,533
30,0,0,0,0,877,IT,"2016-11-19 00:00:00",0,0,0,0,365,,,,,,47266
0,0,1,0,98,877,RU,"2016-11-19 22:00:00",0,0,0,0,212933,Client_6s_AtomicDodgeBallLite_EN_160406_iOS_Landscape_Reg,,571aa7656dfbb64b2b0000cd,,566f71063fc0263d5a00000e,2962
0,0,0,0,0,877,IR,"2016-11-19 10:00:00",1,0,0,0,0,,,,,,123959
90,0,0,0,0,877,IE,"2016-11-19 00:00:00",0,0,0,0,1899,,,,,,533
167,0,0,0,0,877,CA,"2016-11-19 16:00:00",0,0,0,0,1899,,,,,,533
0,0,1,0,98,877,RU,"2016-11-19 13:00:00",0,0,0,0,212933,Client_6s_AtomicDodgeBallLite_EN_160406_iOS_Landscape_Reg,,571aa7656dfbb64b2b0000cd,,5767da97de4dacbc140000e7,2962
0,0,0,0,1072,877,IN,"2016-11-19 09:00:00",2,0,0,0,75940,8403,5401,767,37541,,2962
42,0,0,0,0,877,AT,"2016-11-19 20:00:00",0,0,0,0,365,,,,,,533
0,0,0,0,0,877,IR,"2016-11-19 16:00:00",0,1,0,0,0,,,,,,123959
4,0,0,0,1819,877,US,"2016-11-19 13:00:00",0,0,0,0,185135,{aff_sub2},{aff_sub},{offer_id},{affiliate_id},{source},2962
66,0,0,0,0,877,CH,"2016-11-19 17:00:00",0,0,0,0,1899,,,,,,533
3,3,0,0,5,877,IN,"2016-11-19 06:00:00",0,0,0,0,75692,95477136527,,651081503,d,AdMob,60916
390,0,0,0,0,877,NL,"2016-11-19 17:00:00",0,0,0,0,1899,,,,,,533
0,0,0,0,0,877,CN,"2016-11-19 03:00:00",4,3,0,0,0,,,,,,2385
1,1,0,0,1072,877,IQ,"2016-11-19 08:00:00",0,0,0,0,75940,8403,5401,767,37541,,2962
156,0,0,0,0,877,DK,"2016-11-19 08:00:00",0,0,0,0,1899,,,,,,533
270,0,0,0,0,877,US,"2016-11-19 05:00:00",0,0,0,0,365,,,,,,533
6,0,0,0,0,877,DK,"2016-11-19 03:00:00",0,0,0,0,365,,,,,,47266
0,0,0,0,0,877,PH,"2016-11-19 03:00:00",1,0,0,0,0,,,,,,123959
24,0,0,0,0,877,CH,"2016-11-19 06:00:00",0,0,0,0,365,,,,,,533
2,0,0,0,0,877,US,"2016-11-19 13:00:00",0,0,0,0,129030,{file_id},,{offer_id},{affiliate_id},{affiliate_sub},2962
390,0,0,0,0,877,NL,"2016-11-19 02:00:00",0,0,0,0,1899,,,,,,533
336,0,0,0,0,877,US,"2016-11-19 06:00:00",0,0,0,0,365,,,,,,47266
24,0,0,0,0,877,IE,"2016-11-19 21:00:00",0,0,0,0,365,,,,,,47266
0,0,0,0,0,877,IR,"2016-11-19 05:00:00",2,0,0,0,0,,,,,,123959
348,0,0,0,0,877,US,"2016-11-19 20:00:00",0,0,0,0,365,,,,,,47266
6,0,0,0,0,877,CH,"2016-11-19 12:00:00",0,0,0,0,365,,,,,,47266
24,0,0,0,0,877,UK,"2016-11-19 04:00:00",0,0,0,0,142476,,,,,,533
18,0,0,0,0,877,CA,"2016-11-19 08:00:00",0,0,0,0,365,,,,,,533
