ad_clicks,ad_clicks_unique,ad_impressions,ad_impressions_unique,ad_network_id,advertiser_id,country.code,date_hour,events,installs,is_reengagement,payouts,publisher_id,publisher_sub_ad.ref,publisher_sub_adgroup.ref,publisher_sub_campaign.ref,publisher_sub_publisher.ref,publisher_sub_site.ref,site_id
78,0,0,0,0,877,DE,"2016-11-18 02:00:00",0,0,0,0,365,,,,,,533
18,0,0,0,0,877,CA,"2016-11-18 04:00:00",0,0,0,0,365,,,,,,533
0,0,4,3,98,877,RU,"2016-11-18 23:00:00",0,0,0,0,212933,Client_6s_AtomicDodgeBallLite_EN_160406_iOS_Landscape_Reg,,571aa7656dfbb64b2b0000cd,,5767da97de4dacbc140000e7,2962
0,0,1,1,98,877,CN,"2016-11-18 02:00:00",0,0,0,0,212933,Client_6s_AtomicDodgeBallLite_EN_160406_iOS_Landscape_Reg,,571aa7656dfbb64b2b0000cd,,546c783b874b20c73300002a,2962
0,0,1,1,98,877,RU,"2016-11-18 02:00:00",0,0,0,0,212933,Client_6s_AtomicDodgeBallLite_EN_160406_iOS_Landscape_Reg,,571aa7656dfbb64b2b0000cd,,56659bfed60c48a84400000b,2962
30,0,0,0,0,877,NL,"2016-11-18 07:00:00",0,0,0,0,142476,,,,,,533
0,0,0,0,0,877,IR,"2016-11-18 01:00:00",4,0,0,0,0,,,,,,123959
6,0,0,0,0,877,CA,"2016-11-18 19:00:00",0,0,0,0,365,,,,,,47266
42,0,0,0,0,877,AT,"2016-11-18 11:00:00",0,0,0,0,365,,,,,,533
138,0,0,0,0,877,IT,"2016-11-18 11:00:00",0,0,0,0,1899,,,,,,533
0,0,0,0,0,877,IR,"2016-11-18 14:00:00",4,0,0,0,0,,,,,,123959
30,0,0,0,0,877,IT,"2016-11-18 20:00:00",0,0,0,0,365,,,,,,47266
6,0,0,0,0,877,IT,"2016-11-18 16:00:00",0,0,0,0,142476,,,,,,533
0,0,0,0,0,877,IR,"2016-11-18 03:00:00",1,0,0,0,0,,,,,,123959
30,0,0,0,0,877,SE,"2016-11-18 06:00:00",0,0,0,0,365,,,,,,47266
0,0,0,0,0,877,US,"2016-11-18 21:00:00",0,5,0,0,0,,,,,,113773
1,1,0,0,0,877,US,"2016-11-18 08:00:00",0,0,0,0,45684,,,,,,107708
6,0,0,0,0,877,CH,"2016-11-18 16:00:00",0,0,0,0,142476,,,,,,533
48,0,0,0,0,877,DE,"2016-11-18 07:00:00",0,0,0,0,142476,,,,,,533
30,0,0,0,0,877,NL,"2016-11-18 12:00:00",0,0,0,0,142476,,,,,,533
294,0,0,0,0,877,UK,"2016-11-18 05:00:00",0,0,0,0,1899,,,,,,533
90,0,0,0,0,877,IE,"2016-11-18 07:00:00",0,0,0,0,1899,,,,,,533
